year,category,movie,winner,name,gender,order
2001,Best Original Song - Motion Picture,The Emperor's New Groove,FALSE,Dave Hartley,M,22
2001,Best Screenplay - Motion Picture,Almost Famous,FALSE,Cameron Crowe,M,24
2001,Best Screenplay - Motion Picture,Quills,FALSE,Doug Wright,M,25
2001,Best Screenplay - Motion Picture,Wonder Boys,FALSE,Steve Kloves,M,26
2001,Best Screenplay - Motion Picture,You Can Count on Me,FALSE,Kenneth Lonergan,M,27
2002,Best Original Score - Motion Picture,Ali,FALSE,Lisa Gerrard,F,1
2002,Best Original Song - Motion Picture,The Lord of the Rings: The Fellowship of the Ring,FALSE,Enya,F,2
2002,Best Original Song - Motion Picture,Pearl Harbor,FALSE,Diane Warren,F,3
2002,Best Director - Motion Picture,Gosford Park,TRUE,Robert Altman,M,4
2002,Best Original Score - Motion Picture,Moulin Rouge!,TRUE,Craig Armstrong,M,11
2002,Best Original Song - Motion Picture,Kate & Leopold,TRUE,Sting,M,17
2002,Best Screenplay - Motion Picture,A Beautiful Mind,TRUE,Akiva Goldsman,M,20
2002,Best Director - Motion Picture,Moulin Rouge!,FALSE,Baz Luhrmann,M,5
2002,Best Director - Motion Picture,Mulholland Drive,FALSE,David Lynch,M,6
2002,Best Director - Motion Picture,The Lord of the Rings: The Fellowship of the Ring,FALSE,Peter Jackson,M,7
2002,Best Director - Motion Picture,A Beautiful Mind,FALSE,Ron Howard,M,8
2002,Best Director - Motion Picture,A.I. Artificial Intelligence,FALSE,Steven Spielberg,M,9
2002,Best Original Score - Motion Picture,Ali,FALSE,Pieter Bourke,M,10
2002,Best Original Score - Motion Picture,A Beautiful Mind,FALSE,James Horner,M,12
2002,Best Original Score - Motion Picture,A.I. Artificial Intelligence,FALSE,John Williams,M,13
2002,Best Original Score - Motion Picture,Mulholland Drive,FALSE,Angelo Badalamenti,M,14
2002,Best Original Score - Motion Picture,Pearl Harbor,FALSE,Hans Zimmer,M,15
2002,Best Original Score - Motion Picture,The Shipping News,FALSE,Christopher Young,M,16
2002,Best Original Song - Motion Picture,Moulin Rouge!,FALSE,David Baerwald,M,18
2002,Best Original Song - Motion Picture,Vanilla Sky,FALSE,Paul McCartney,M,19
2002,Best Screenplay - Motion Picture,Gosford Park,FALSE,Julian Fellowes,M,21
2002,Best Screenplay - Motion Picture,Memento,FALSE,Christopher Nolan,M,22
2002,Best Screenplay - Motion Picture,Mulholland Drive,FALSE,David Lynch,M,23
2002,Best Screenplay - Motion Picture,The Man Who Wasn't There,FALSE,Joel Coen,M,24
2002,Best Screenplay - Motion Picture,The Man Who Wasn't There,FALSE,Ethan Coen,M,25
2003,Best Original Song - Motion Picture,Die Another Day,FALSE,Madonna,F,1
2003,Best Original Song - Motion Picture,Spirit: Stallion of the Cimarron,FALSE,Gretchen Peters,F,2
2003,Best Director - Motion Picture,Gangs of New York,TRUE,Martin Scorsese,M,3
2003,Best Original Score - Motion Picture,Frida,TRUE,Elliot Goldenthal,M,9
2003,Best Original Song - Motion Picture,Gangs of New York,TRUE,Bono,M,14
2003,Best Original Song - Motion Picture,Gangs of New York,TRUE,The Edge,M,18
2003,Best Original Song - Motion Picture,Gangs of New York,TRUE,Adam Clayton,M,19
2003,Best Original Song - Motion Picture,Gangs of New York,TRUE,Larry Mullen Jr.,M,20
2003,Best Screenplay - Motion Picture,About Schmidt,TRUE,Alexander Payne,M,25
2003,Best Screenplay - Motion Picture,About Schmidt,TRUE,Jim Taylor,M,30
2003,Best Director - Motion Picture,About Schmidt,FALSE,Alexander Payne,M,4
2003,Best Director - Motion Picture,The Lord of the Rings: The Two Towers,FALSE,Peter Jackson,M,5
2003,Best Director - Motion Picture,The Hours,FALSE,Stephen Daldry,M,6
2003,Best Director - Motion Picture,Chicago,FALSE,Rob Marshall,M,7
2003,Best Director - Motion Picture,Adaptation.,FALSE,Spike Jonze,M,8
2003,Best Original Score - Motion Picture,25th Hour,FALSE,Terence Blanchard,M,10
2003,Best Original Score - Motion Picture,Far from Heaven,FALSE,Elmer Bernstein,M,11
2003,Best Original Score - Motion Picture,Rabbit-Proof Fence,FALSE,Peter Gabriel,M,12
2003,Best Original Score - Motion Picture,The Hours,FALSE,Philip Glass,M,13
2003,Best Original Song - Motion Picture,8 Mile,FALSE,Eminem,M,15
2003,Best Original Song - Motion Picture,Spirit: Stallion of the Cimarron,FALSE,Hans Zimmer,M,16
2003,Best Original Song - Motion Picture,The Wild Thornberrys Movie,FALSE,Paul Simon,M,17
2003,Best Original Song - Motion Picture,8 Mile,FALSE,Jeff Bass,M,21
2003,Best Original Song - Motion Picture,8 Mile,FALSE,Luis Resto,M,22
2003,Best Original Song - Motion Picture,Die Another Day,FALSE,Mirwais Ahmadzaï,M,23
2003,Best Original Song - Motion Picture,Spirit: Stallion of the Cimarron,FALSE,Bryan Adams,M,24
2003,Best Screenplay - Motion Picture,Adaptation.,FALSE,Charlie Kaufman,M,26
2003,Best Screenplay - Motion Picture,Chicago,FALSE,Bill Condon,M,27
2003,Best Screenplay - Motion Picture,Far from Heaven,FALSE,Todd Haynes,M,28
2003,Best Screenplay - Motion Picture,The Hours,FALSE,David Hare,M,29
2004,Best Original Song - Motion Picture,Fran Walsh,TRUE,The Lord of the Rings: The Return of the King,F,1
2004,Best Original Song - Motion Picture,Annie Lennox,TRUE,The Lord of the Rings: The Return of the King,F,2
2004,Best Screenplay - Motion Picture,Lost in Translation,TRUE,Sofia Coppola,F,3
2004,Best Director - Motion Picture,Lost in Translation,FALSE,Sofia Coppola,F,4
2004,Best Director - Motion Picture,The Lord of the Rings: The Return of the King,TRUE,Peter Jackson,M,5
2004,Best Original Score - Motion Picture,The Lord of the Rings: The Return of the King,TRUE,Howard Shore,M,9
2004,Best Original Song - Motion Picture,The Lord of the Rings: The Return of the King,TRUE,Howard Shore,M,14
2004,Best Director - Motion Picture,Cold Mountain,FALSE,Anthony Minghella,M,6
2004,Best Director - Motion Picture,Mystic River,FALSE,Clint Eastwood,M,7
2004,Best Director - Motion Picture,Master and Commander: The Far Side of the World,FALSE,Peter Weir,M,8
2004,Best Original Score - Motion Picture,Big Fish,FALSE,Danny Elfman,M,10
2004,Best Original Score - Motion Picture,Cold Mountain,FALSE,Gabriel Yared,M,11
2004,Best Original Score - Motion Picture,Girl with a Pearl Earring,FALSE,Alexandre Desplat,M,12
2004,Best Original Score - Motion Picture,The Last Samurai,FALSE,Hans Zimmer,M,13
2004,Best Original Song - Motion Picture,Big Fish,FALSE,Eddie Vedder,M,15
2004,Best Original Song - Motion Picture,Cold Mountain,FALSE,Sting,M,16
2004,Best Original Song - Motion Picture,In America,FALSE,Bono,M,17
2004,Best Original Song - Motion Picture,In America,FALSE,Gavin Friday,M,18
2004,Best Original Song - Motion Picture,In America,FALSE,Maurice Seezer,M,19
2004,Best Original Song - Motion Picture,Mona Lisa Smile,FALSE,Elton John,M,20
2004,Best Original Song - Motion Picture,Mona Lisa Smile,FALSE,Bernie Taupin,M,21
2004,Best Screenplay - Motion Picture,Cold Mountain,FALSE,Anthony Minghella,M,22
